City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto ayora,-0.7393,-90.3518,24.19,89,14,3.58,EC,1698378083
83,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1698378083
84,gamba,-2.65,10.0,24.22,90,100,1.99,GA,1698378083
85,hotan,37.0997,79.9269,17.19,17,46,1.13,CN,1698378083
86,mejit,10.2753,170.8646,28.63,74,48,4.77,MH,1698378083
87,utrik,11.2278,169.8474,28.28,76,85,5.28,MH,1698378084
88,colonia,50.9333,6.95,11.03,89,75,2.06,DE,1698378084
89,fort bragg,35.139,-79.006,17.75,94,0,0.45,US,1698377792
90,margaret river,-33.95,115.0667,16.39,45,71,6.08,AU,1698378084
91,hawaiian paradise park,19.5933,-154.9731,26.04,88,100,2.57,US,1698378084
92,mananjary,-21.2167,48.3333,23.03,92,85,3.4,MG,1698378084
93,happy valley-goose bay,53.3168,-60.3315,0.17,69,20,4.63,CA,1698377959
94,christchurch,-43.5333,172.6333,10.18,46,75,6.69,NZ,1698378085
95,choyr,46.3611,108.3611,11.34,22,7,3.76,MN,1698378085
96,miyaly,48.8844,53.7836,0.0,96,100,8.64,KZ,1698378085
97,massena,44.9281,-74.8919,17.51,100,100,0.0,US,1698378085
98,north battleford,52.7834,-108.2847,-4.95,68,100,4.63,CA,1698378085
99,papao,-17.75,-149.55,25.37,90,100,1.59,PF,1698378085
100,weno,7.4515,151.8468,29.97,84,75,1.54,FM,1698378085
101,khandyga,62.6667,135.6,-5.28,88,99,1.09,RU,1698378086
102,dakhla,23.6848,-15.958,20.82,87,0,8.46,EH,1698378086
103,kotel,42.8833,26.45,8.75,80,76,1.36,BG,1698378086
104,morehead city,34.7229,-76.726,20.55,95,0,0.0,US,1698378086
105,klyuchi,52.2667,79.1667,-0.04,50,6,7.96,RU,1698378008
106,salta,-24.7859,-65.4117,18.33,88,100,2.57,AR,1698378086
107,hermanus,-34.4187,19.2345,15.78,81,100,3.86,ZA,1698378086
108,kidal,18.4411,1.4078,26.37,13,12,4.11,ML,1698378086
109,talnakh,69.4865,88.3972,-16.55,93,26,0.91,RU,1698378087
110,fredericton,45.9454,-66.6656,14.68,90,100,1.03,CA,1698378087
111,bredasdorp,-34.5322,20.0403,14.7,79,100,2.42,ZA,1698378001
112,kokoda,-8.8785,147.7407,31.69,58,55,2.18,PG,1698378087
113,kiruna,67.8557,20.2251,-4.49,86,100,3.09,SE,1698378087
114,pisco,-13.7,-76.2167,19.03,88,100,4.63,PE,1698378005
115,richards bay,-28.783,32.0377,19.67,82,6,6.76,ZA,1698378087
116,sao joao da barra,-21.6403,-41.0511,22.64,97,100,4.63,BR,1698378019
117,gadzhiyevo,69.2551,33.3362,-3.67,94,100,3.11,RU,1698378088
118,punta arenas,-53.15,-70.9167,5.06,65,75,4.63,CL,1698378088
119,el colorado,-26.3081,-59.3729,19.37,85,85,1.71,AR,1698378088
120,jayapura,-2.5333,140.7,32.66,79,100,1.34,ID,1698378088
121,sunland park,31.7965,-106.58,21.06,41,0,3.6,US,1698378088
122,grand falls-windsor,48.9332,-55.6649,4.17,91,87,2.13,CA,1698377838
123,sakakah,29.9697,40.2064,18.76,49,0,2.55,SA,1698378023
124,okakarara,-20.5833,17.4333,19.12,35,20,3.79,NA,1698378089
125,rodolfo sanchez taboada,31.7167,-116.5667,17.28,80,12,1.34,MX,1698378089
126,sao vicente,-23.9631,-46.3919,22.1,59,100,1.34,BR,1698378041
127,vangaindrano,-23.35,47.6,22.56,71,99,2.6,MG,1698378089
128,matoury,4.8483,-52.3317,24.98,94,0,1.03,GF,1698378089
129,lompoc,34.6391,-120.4579,12.55,84,0,9.83,US,1698378089
130,olyokminsk,60.3736,120.4264,2.06,58,51,2.6,RU,1698378089
131,hirara,24.8,125.2833,27.92,61,75,5.14,JP,1698378089
132,babu,24.4167,111.5167,26.58,74,84,1.1,CN,1698378090
133,tamanrasset,22.785,5.5228,18.95,20,0,2.57,DZ,1698378055
134,marsh harbour,26.5412,-77.0636,25.87,72,58,9.21,BS,1698378090
135,ceerigaabo,10.6162,47.368,17.38,84,91,1.82,SO,1698378090
136,elko,41.0002,-115.5012,0.36,55,10,1.34,US,1698378090
137,bodaybo,57.8506,114.1933,4.38,67,97,1.45,RU,1698378090
138,udachny,66.4167,112.4,-9.75,85,100,1.77,RU,1698378090
139,vilyuchinsk,52.9306,158.4028,10.15,65,6,1.53,RU,1698378090
140,el granada,37.5027,-122.4694,14.33,72,0,7.2,US,1698378091
141,nizhneudinsk,54.9076,99.0276,9.83,49,100,6.06,RU,1698378091
142,entebbe,0.0644,32.4469,21.83,78,100,1.76,UG,1698378091
143,okhotsk,59.3833,143.3,-0.88,96,100,8.91,RU,1698378091
144,rexburg,43.826,-111.7897,0.73,79,100,0.0,US,1698378091
145,labrador city,52.9463,-66.9114,-5.05,86,40,0.0,CA,1698378011
146,port-vila,-17.7338,168.3219,29.78,66,40,4.63,VU,1698378091
147,la fria,8.2203,-72.2439,24.06,96,100,1.14,VE,1698378092
148,temirtau,50.0544,72.9483,-1.79,54,2,3.92,KZ,1698378092
149,iskateley,67.6803,53.1512,-11.66,100,38,1.79,RU,1698378092
150,catacaos,-5.2667,-80.6833,22.27,69,95,4.41,PE,1698378092
151,sorong,-0.8833,131.25,30.32,59,100,6.21,ID,1698378092
152,yuzhno-kurilsk,44.0306,145.8556,11.32,87,98,2.15,RU,1698378014
153,ghat,24.9647,10.1728,22.75,27,2,1.12,LY,1698378092
154,tralee,52.2704,-9.7026,8.78,95,79,2.19,IE,1698378093
155,detroit lakes,46.8172,-95.8453,6.03,94,100,2.06,US,1698378078
156,sungai penuh,-2.0833,101.3833,27.13,48,59,1.16,ID,1698378041
157,baskale,38.0453,44.0172,6.07,68,100,0.87,TR,1698378093
158,saint-philippe,-21.3585,55.7679,25.62,77,69,2.4,RE,1698378042
159,vila franca do campo,37.7167,-25.4333,16.6,99,84,3.17,PT,1698378093
160,chonchi,-42.6128,-73.8092,10.07,81,100,3.35,CL,1698378093
161,gonabad,34.3529,58.6837,19.29,33,7,0.39,IR,1698378093
162,polyarnyy,69.1989,33.4478,-3.25,94,100,3.2,RU,1698378093
163,tangzhai,34.4328,116.5911,22.9,31,98,3.11,CN,1698378094
164,calvi,42.5,8.8333,17.35,73,75,10.8,FR,1698378094
165,alamogordo,32.8995,-105.9603,17.2,49,20,5.14,US,1698378094
166,kodiak,57.79,-152.4072,6.73,70,100,4.12,US,1698378094
167,hithadhoo,-0.6,73.0833,27.29,78,27,8.07,MV,1698378025
168,san matias,-16.3667,-58.4,26.36,72,98,2.88,BO,1698378094
169,sanctuary point,-35.1114,150.629,17.08,80,99,4.18,AU,1698378094
170,megion,61.0296,76.1136,-4.99,85,100,7.93,RU,1698378095
171,mount pearl,47.5166,-52.7813,8.19,87,75,4.12,CA,1698378001
172,hell-ville,-13.4,48.2667,24.93,81,75,0.0,MG,1698378095
173,amuntai,-2.4177,115.2494,36.91,35,97,0.75,ID,1698378095
174,badger,64.8,-147.5333,-4.07,89,75,0.0,US,1698378095
175,zhigalovo,54.8097,105.1578,8.59,51,90,1.06,RU,1698378095
176,tazacorte,28.629,-17.9293,22.54,68,100,3.6,ES,1698378095
177,puerto armuelles,8.2833,-82.8667,26.16,84,100,0.45,PA,1698378095
178,atafu village,-8.5421,-172.5159,28.43,78,100,6.46,TK,1698378096
179,acapulco de juarez,16.8634,-99.8901,26.35,85,97,2.15,MX,1698378096
180,breyten,-26.3018,29.987,14.7,51,1,1.6,ZA,1698378096
181,roma,43.2128,-75.4557,20.48,88,0,2.06,US,1698378096
182,novozybkov,52.5396,31.9275,6.98,98,100,3.28,RU,1698378096
183,san salvador de jujuy,-24.1946,-65.2971,15.74,85,98,0.62,AR,1698377951
184,punta del este,-34.9667,-54.95,14.37,75,0,3.09,UY,1698378096
185,magadan,59.5667,150.8,-2.48,72,100,2.51,RU,1698378097
186,puerto deseado,-47.7503,-65.8938,8.17,71,75,12.77,AR,1698378097
187,saipan,15.1355,145.701,31.39,74,40,4.63,MP,1698378097
188,trinidad,-14.8333,-64.9,29.18,55,83,2.67,BO,1698378097
189,tual,-5.6667,132.75,26.71,75,41,6.73,ID,1698378062
190,port elizabeth,-33.918,25.5701,17.16,91,20,11.32,ZA,1698378097
191,dudinka,69.4058,86.1778,-12.96,99,44,1.34,RU,1698378097
192,puerto baquerizo moreno,-0.9,-89.6,23.18,79,63,5.44,EC,1698378097
193,san antonio de pale,-1.4014,5.6325,25.96,86,100,6.29,GQ,1698378097
194,coquimbo,-29.9533,-71.3436,13.85,76,100,3.09,CL,1698377597
195,capela,-10.5033,-37.0528,22.95,84,34,3.73,BR,1698378098
196,floro,61.5996,5.0328,5.54,81,100,2.57,NO,1698378098
